ProdTaken,Age,CityTier,DurationOfPitch,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Salaried,Occupation_Small Business,MaritalStatus_Married,MaritalStatus_Unmarried
0,42.0,1,8.0,1,2,3.0,1,3.0,3.0,1,3,1,0.0,1,25124.0,False,True,False,True,False
0,31.0,1,30.0,1,4,6.0,0,3.0,3.0,0,3,0,1.0,2,21291.0,False,True,False,True,False
0,44.0,2,6.0,0,2,3.0,0,3.0,5.0,1,3,1,0.0,2,18195.0,True,True,False,True,False
1,45.0,3,8.0,0,3,5.0,4,4.0,3.0,1,5,0,2.0,4,33824.0,True,False,True,False,True
0,30.0,3,8.0,1,3,3.0,0,4.0,2.0,0,3,1,0.0,2,17476.0,True,False,False,True,False
0,50.0,1,34.0,1,3,1.0,0,3.0,2.0,1,1,0,1.0,2,18221.0,True,False,True,True,False
0,60.0,3,22.0,1,2,3.0,2,5.0,1.0,0,4,1,0.0,0,20405.0,True,False,True,False,True
1,41.0,1,14.0,1,4,4.0,0,5.0,5.0,1,3,0,2.0,2,20844.0,True,True,False,False,True
1,45.0,1,31.0,1,3,4.0,0,3.0,5.0,1,5,0,2.0,2,21839.0,False,True,False,True,False
0,35.0,1,7.0,0,4,2.0,0,3.0,4.0,0,2,0,1.0,2,21958.0,True,True,False,False,True
0,45.0,1,8.0,0,3,4.0,0,3.0,2.0,0,3,1,1.0,2,17274.0,True,True,False,False,True
0,51.0,1,12.0,0,2,4.0,0,3.0,1.0,0,5,1,1.0,2,17838.0,False,False,True,False,True
0,26.0,1,6.0,0,2,4.0,0,3.0,2.0,1,4,0,0.0,2,17933.0,True,True,False,True,False
1,32.0,3,9.0,0,3,5.0,0,3.0,2.0,0,5,0,2.0,2,21463.0,False,True,False,False,True
0,37.0,3,17.0,0,4,5.0,2,3.0,3.0,1,1,1,3.0,0,24351.0,True,False,False,True,False
0,34.0,3,15.0,1,3,4.0,2,5.0,4.0,0,5,1,1.0,0,25070.0,True,True,False,True,False
0,32.0,1,9.0,0,2,3.0,1,3.0,4.0,0,2,1,1.0,1,26159.0,True,True,False,False,True
0,37.0,1,9.0,0,3,4.0,2,4.0,2.0,1,3,1,1.0,0,24088.0,True,True,False,False,True
0,44.0,3,34.0,0,2,1.0,3,3.0,4.0,1,1,1,0.0,3,28320.0,True,False,True,True,False
1,35.0,3,16.0,1,3,4.0,1,3.0,6.0,0,3,1,2.0,1,23168.0,True,False,True,True,False
0,52.0,1,14.0,1,3,5.0,2,3.0,4.0,0,3,1,2.0,0,24810.0,True,False,True,True,False
0,45.0,1,6.0,1,3,4.0,1,3.0,4.0,0,1,1,2.0,1,25748.0,False,True,False,True,False
0,41.0,2,6.0,1,2,4.0,4,3.0,2.0,0,1,1,1.0,4,34189.0,True,True,False,True,False
1,26.0,3,14.0,1,2,4.0,2,5.0,7.0,0,3,1,1.0,0,20326.0,True,False,False,False,True
0,55.0,3,9.0,0,3,5.0,1,3.0,8.0,0,5,1,1.0,1,29364.0,True,True,False,False,False
1,20.0,1,10.0,1,2,3.0,0,5.0,2.0,0,3,1,0.0,2,17973.0,True,False,False,False,True
0,34.0,1,8.0,1,2,4.0,2,3.0,2.0,0,4,0,0.0,0,24547.0,False,True,False,False,False
0,45.0,3,35.0,0,3,2.0,3,3.0,5.0,1,1,1,1.0,3,31998.0,True,False,True,True,False
1,52.0,3,17.0,0,4,4.0,1,4.0,7.0,0,1,1,3.0,1,31820.0,True,True,False,True,False
0,26.0,3,35.0,1,3,5.0,2,3.0,4.0,0,4,0,1.0,0,27317.0,True,True,False,False,False
0,39.0,3,16.0,1,4,5.0,0,4.0,2.0,0,4,0,1.0,2,21577.0,True,False,True,False,False
0,36.0,1,16.0,1,4,5.0,2,4.0,2.0,0,1,0,2.0,0,25218.0,True,True,False,False,True
1,24.0,1,15.0,1,4,5.0,0,3.0,3.0,1,4,1,3.0,2,22667.0,True,False,True,False,True
0,27.0,1,7.0,1,4,4.0,0,5.0,2.0,0,5,1,3.0,2,21545.0,True,False,True,False,True
1,32.0,1,36.0,1,4,5.0,0,4.0,2.0,0,3,0,3.0,2,22157.0,False,False,True,False,True
1,29.0,1,9.0,1,3,6.0,0,3.0,7.0,1,3,1,1.0,2,22142.0,True,False,True,False,False
1,25.0,1,7.0,1,4,4.0,0,3.0,4.0,1,3,1,3.0,2,20971.0,True,False,True,False,False
1,30.0,1,21.0,0,3,4.0,1,3.0,2.0,1,5,1,1.0,1,26231.0,False,True,False,False,True
0,37.0,3,24.0,1,3,5.0,2,4.0,4.0,0,4,1,1.0,0,24185.0,True,False,True,True,False
0,33.0,1,13.0,1,3,4.0,0,3.0,5.0,0,1,0,2.0,2,21716.0,True,True,False,False,True
0,31.0,1,15.0,1,2,4.0,0,4.0,1.0,1,3,1,0.0,2,17657.0,True,True,False,False,True
1,33.0,1,7.0,1,4,5.0,0,3.0,2.0,1,5,0,3.0,2,22408.0,True,True,False,False,True
0,36.0,1,32.0,0,3,4.0,1,3.0,3.0,1,3,1,2.0,1,29066.0,True,False,True,True,False
0,38.0,1,17.0,0,4,4.0,0,5.0,8.0,0,2,1,2.0,2,22130.0,True,False,True,False,False
0,38.0,1,7.0,0,2,4.0,1,3.0,4.0,1,3,0,1.0,1,32281.0,False,False,True,True,False
0,23.0,1,18.0,1,3,3.0,0,3.0,2.0,0,5,1,0.0,2,17647.0,True,True,False,False,True
0,25.0,1,25.0,1,3,4.0,0,3.0,2.0,0,4,0,1.0,2,21452.0,True,True,False,True,False
0,46.0,1,7.0,1,4,4.0,1,4.0,3.0,0,3,1,2.0,1,26119.0,True,False,False,True,False
1,30.0,1,31.0,1,4,5.0,0,3.0,3.0,1,3,1,3.0,2,21117.0,False,True,False,False,True
0,30.0,1,29.0,1,3,5.0,0,3.0,2.0,0,3,1,2.0,2,17613.0,False,True,False,True,False
0,32.0,3,11.0,1,2,3.0,2,4.0,2.0,0,3,1,1.0,0,21524.0,False,True,False,True,False
1,52.0,1,15.0,1,3,6.0,1,3.0,4.0,0,2,0,2.0,1,29328.0,False,True,False,False,True
1,32.0,3,10.0,1,2,5.0,1,3.0,2.0,0,1,1,0.0,1,25400.0,True,False,True,True,False
0,45.0,1,26.0,1,3,3.0,3,3.0,1.0,1,3,0,0.0,3,28496.0,True,False,True,False,False
0,34.0,1,35.0,1,2,3.0,2,3.0,5.0,0,3,0,0.0,0,20429.0,True,False,True,False,False
0,44.0,1,8.0,0,3,1.0,1,3.0,2.0,1,4,1,0.0,1,22879.0,True,True,False,True,False
0,58.0,3,36.0,1,3,5.0,3,3.0,5.0,0,3,1,1.0,3,32796.0,True,False,True,True,False
1,35.0,3,31.0,0,3,5.0,2,4.0,2.0,1,5,1,1.0,0,23277.0,True,False,True,False,True
1,59.0,1,28.0,0,4,4.0,2,4.0,6.0,0,3,1,2.0,0,28686.0,True,False,True,True,False
0,27.0,1,13.0,1,4,2.0,0,3.0,2.0,0,4,1,2.0,2,21222.0,False,True,False,True,False
0,35.0,3,22.0,0,4,4.0,2,5.0,3.0,0,1,1,3.0,0,24803.0,True,False,True,False,True
0,30.0,1,14.0,0,4,5.0,0,3.0,8.0,0,5,1,1.0,2,21210.0,True,False,True,True,False
1,48.0,3,13.0,0,3,3.0,0,3.0,3.0,1,4,1,1.0,2,17655.0,False,False,True,True,False
0,34.0,1,11.0,1,3,4.0,2,4.0,7.0,0,1,0,1.0,0,21733.0,False,False,False,True,False
0,46.0,3,9.0,1,3,6.0,2,3.0,2.0,0,5,0,1.0,0,25310.0,True,False,False,False,True
0,35.0,3,14.0,0,3,3.0,0,3.0,2.0,0,3,0,0.0,2,17572.0,True,True,False,False,False
0,60.0,3,13.0,1,2,1.0,2,3.0,1.0,1,5,0,0.0,0,20220.0,True,False,True,True,False
0,42.0,3,10.0,1,2,3.0,2,5.0,1.0,0,5,1,1.0,0,20155.0,True,False,True,False,True
0,60.0,1,9.0,0,4,5.0,3,3.0,5.0,1,5,1,1.0,3,32404.0,True,True,False,False,True
1,33.0,1,32.0,1,3,4.0,0,3.0,3.0,1,5,0,1.0,2,21473.0,True,True,False,False,True
0,55.0,1,17.0,0,4,4.0,2,5.0,8.0,1,1,0,1.0,0,23118.0,True,False,True,False,True
1,18.0,3,11.0,1,3,3.0,0,4.0,2.0,1,4,1,0.0,2,16878.0,False,False,True,False,True
0,36.0,3,9.0,1,2,4.0,1,3.0,5.0,0,2,0,1.0,1,24699.0,False,False,True,False,False
0,30.0,1,14.0,1,3,4.0,0,5.0,5.0,0,4,0,1.0,2,20740.0,True,True,False,False,True
1,41.0,3,15.0,1,2,5.0,3,3.0,1.0,0,5,1,1.0,3,21151.0,False,True,False,True,False
0,33.0,1,15.0,0,4,2.0,2,3.0,7.0,0,3,1,3.0,0,23853.0,True,False,True,True,False
1,35.0,3,10.0,1,2,3.0,1,5.0,1.0,1,4,1,1.0,1,24582.0,True,False,False,False,True
0,39.0,1,7.0,0,3,4.0,0,5.0,5.0,0,2,1,2.0,2,21297.0,True,True,False,False,True
1,55.0,3,19.0,1,2,1.0,3,3.0,7.0,1,3,1,1.0,3,28695.0,True,False,True,False,True
0,36.0,1,9.0,0,4,4.0,2,5.0,4.0,0,4,1,3.0,0,23771.0,False,True,False,True,False
0,34.0,3,6.0,1,3,4.0,1,3.0,2.0,1,1,1,1.0,1,22083.0,True,False,False,False,False
0,38.0,1,6.0,0,2,1.0,2,3.0,1.0,0,1,0,0.0,0,22625.0,True,True,False,False,True
0,32.0,1,14.0,0,3,5.0,1,3.0,3.0,0,1,1,1.0,1,27621.0,False,True,False,True,False
1,34.0,1,13.0,1,3,5.0,2,3.0,2.0,1,5,1,0.0,0,21074.0,False,True,False,False,True
0,49.0,1,11.0,1,3,4.0,1,3.0,3.0,0,5,1,2.0,1,26576.0,True,True,False,False,True
0,44.0,3,9.0,1,4,4.0,2,3.0,3.0,0,3,1,3.0,0,24353.0,False,True,False,True,False
1,25.0,3,30.0,1,3,5.0,0,3.0,2.0,1,1,1,1.0,2,16118.0,False,True,False,False,True
0,32.0,1,11.0,0,2,1.0,0,3.0,4.0,0,5,1,1.0,2,18312.0,True,True,False,True,False
0,32.0,1,14.0,0,3,4.0,2,5.0,3.0,0,1,1,1.0,0,22984.0,True,False,True,True,False
1,18.0,3,9.0,0,3,3.0,0,3.0,2.0,1,5,0,1.0,2,16569.0,False,False,True,False,True
0,38.0,2,6.0,1,2,1.0,0,3.0,2.0,0,4,1,0.0,2,17844.0,True,True,False,True,False
1,27.0,1,30.0,1,3,4.0,0,3.0,2.0,1,3,1,1.0,2,17534.0,False,True,False,False,True
0,28.0,1,25.0,1,3,4.0,0,5.0,2.0,0,3,1,1.0,2,18196.0,True,False,True,True,False
0,36.0,1,28.0,0,3,4.0,2,3.0,3.0,1,3,0,2.0,0,22692.0,True,True,False,False,False
0,37.0,3,25.0,1,2,3.0,1,4.0,2.0,1,5,0,0.0,1,22642.0,False,False,True,False,True
0,30.0,3,7.0,0,3,4.0,1,3.0,3.0,0,3,1,1.0,1,26596.0,False,False,True,False,False
0,35.0,1,11.0,1,3,3.0,1,4.0,1.0,0,3,1,1.0,1,23095.0,True,False,False,False,True
1,50.0,3,9.0,1,2,4.0,0,3.0,2.0,1,4,1,1.0,2,17683.0,True,False,True,True,False
0,28.0,1,10.0,1,4,5.0,0,3.0,3.0,1,1,0,3.0,2,21244.0,False,False,True,True,False
0,32.0,1,14.0,1,3,4.0,2,3.0,5.0,0,3,0,2.0,0,24593.0,True,True,False,True,False
0,51.0,1,24.0,0,3,5.0,1,5.0,7.0,0,3,1,1.0,1,31947.0,True,True,False,True,False
1,29.0,1,13.0,0,2,3.0,0,3.0,4.0,1,4,1,1.0,2,18339.0,True,False,False,True,False
0,23.0,1,22.0,0,3,4.0,0,3.0,3.0,0,1,1,2.0,2,21549.0,True,False,True,False,True
0,41.0,1,9.0,1,3,5.0,0,3.0,4.0,0,5,0,2.0,2,21487.0,True,True,False,False,True
0,37.0,1,19.0,0,4,4.0,2,3.0,2.0,1,1,0,3.0,0,23341.0,True,True,False,True,False
0,47.0,1,8.0,0,2,3.0,3,3.0,2.0,1,4,1,0.0,3,31752.0,True,True,False,False,False
0,36.0,2,15.0,1,4,4.0,0,3.0,3.0,0,5,0,2.0,2,23001.0,True,False,False,False,True
0,45.0,1,7.0,1,3,4.0,0,3.0,8.0,1,4,0,2.0,2,21114.0,True,False,True,False,True
0,49.0,1,22.0,0,3,3.0,0,5.0,5.0,1,1,1,1.0,2,17587.0,True,False,True,True,False
0,21.0,1,6.0,0,3,4.0,0,4.0,2.0,1,5,1,1.0,2,17070.0,True,False,False,False,True
1,29.0,1,9.0,1,4,4.0,0,3.0,4.0,0,4,1,2.0,2,22163.0,True,True,False,False,True
0,35.0,1,31.0,1,3,4.0,1,4.0,4.0,0,3,1,1.0,1,25903.0,True,False,False,False,False
0,32.0,1,15.0,0,4,4.0,2,3.0,3.0,0,5,0,2.0,0,23102.0,True,True,False,False,True
0,30.0,3,28.0,0,3,3.0,1,5.0,1.0,0,1,1,1.0,1,23412.0,False,True,False,True,False
1,46.0,3,16.0,0,3,3.0,1,4.0,6.0,0,1,0,2.0,1,22314.0,True,True,False,True,False
0,46.0,1,14.0,0,3,4.0,0,3.0,6.0,1,3,1,1.0,2,23155.0,True,False,True,False,False
0,38.0,1,16.0,0,3,3.0,2,3.0,4.0,0,3,1,2.0,0,24824.0,True,False,True,False,False
0,40.0,1,15.0,0,3,4.0,0,3.0,3.0,0,2,0,1.0,2,22433.0,False,True,False,False,False
0,44.0,3,22.0,1,3,5.0,2,3.0,5.0,0,5,0,2.0,0,25482.0,False,True,False,False,False
0,22.0,1,17.0,0,2,3.0,0,4.0,2.0,0,1,1,1.0,2,17244.0,True,False,True,True,False
1,44.0,3,7.0,1,3,3.0,0,3.0,4.0,0,3,1,1.0,2,22978.0,False,False,False,True,False
0,49.0,1,6.0,0,2,4.0,3,3.0,1.0,1,3,0,0.0,3,28964.0,True,False,False,False,True
0,35.0,1,13.0,0,3,5.0,2,4.0,8.0,0,3,0,2.0,0,23183.0,True,True,False,True,False
0,39.0,3,10.0,1,4,4.0,1,3.0,2.0,0,2,1,2.0,1,29287.0,True,True,False,True,False
0,60.0,1,13.0,0,2,3.0,4,5.0,6.0,0,5,0,0.0,4,34566.0,True,True,False,False,False
0,34.0,1,11.0,0,2,4.0,1,5.0,3.0,0,2,0,0.0,1,26631.0,True,False,True,False,True
0,30.0,1,8.0,0,2,4.0,2,3.0,6.0,1,1,1,1.0,0,21877.0,True,False,True,False,True
0,40.0,3,9.0,1,3,2.0,1,3.0,2.0,0,2,1,2.0,1,26558.0,True,True,False,False,True
0,56.0,1,13.0,1,2,5.0,1,3.0,5.0,0,2,0,0.0,1,22260.0,True,True,False,False,True
0,42.0,3,6.0,1,2,3.0,2,3.0,2.0,0,3,1,0.0,0,19907.0,True,True,False,False,False
0,47.0,1,14.0,1,4,4.0,1,3.0,8.0,0,1,1,2.0,1,29523.0,True,False,True,True,False
1,24.0,3,6.0,0,3,3.0,0,4.0,2.0,1,4,1,2.0,2,18202.0,True,False,False,False,True
0,42.0,1,7.0,1,4,4.0,0,3.0,5.0,0,1,0,1.0,2,21460.0,True,True,False,True,False
0,41.0,1,33.0,0,3,4.0,2,4.0,3.0,0,2,1,1.0,0,24283.0,False,False,True,True,False
0,32.0,1,33.0,1,3,4.0,0,3.0,3.0,0,3,0,2.0,2,21589.0,True,True,False,True,False
0,42.0,1,9.0,0,4,5.0,2,3.0,4.0,1,1,0,1.0,0,25489.0,False,True,False,False,True
0,32.0,1,19.0,0,3,4.0,0,4.0,2.0,0,5,1,0.0,2,17743.0,False,True,False,True,False
0,34.0,1,8.0,1,2,4.0,2,3.0,2.0,0,4,0,1.0,0,24547.0,False,True,False,True,False
0,50.0,1,13.0,0,2,4.0,4,3.0,6.0,1,4,1,1.0,4,33740.0,True,False,True,True,False
1,58.0,1,8.0,1,2,4.0,0,3.0,1.0,1,1,1,0.0,2,17380.0,False,True,False,True,False
0,35.0,3,9.0,1,3,3.0,1,3.0,7.0,0,5,0,1.0,1,22823.0,True,True,False,True,False
0,36.0,3,21.0,1,2,5.0,2,3.0,2.0,0,1,1,0.0,0,20406.0,False,False,True,True,False
0,59.0,3,17.0,1,3,4.0,3,3.0,2.0,0,3,0,2.0,3,32550.0,True,False,True,False,True
1,21.0,1,11.0,1,3,4.0,0,5.0,3.0,0,3,1,1.0,2,21651.0,True,False,False,False,True
1,44.0,3,15.0,1,3,4.0,0,5.0,4.0,0,1,1,2.0,2,34190.0,True,True,False,True,False
0,28.0,3,10.0,0,4,2.0,2,3.0,3.0,1,1,1,1.0,0,23325.0,False,False,True,True,False
0,29.0,3,16.0,0,2,4.0,2,4.0,2.0,1,5,1,0.0,0,23268.0,True,False,True,True,False
1,53.0,3,14.0,0,4,4.0,0,3.0,4.0,1,4,1,3.0,2,27124.0,False,False,True,True,False
0,32.0,1,12.0,1,2,3.0,0,3.0,4.0,0,1,0,1.0,2,18038.0,True,True,False,False,True
0,31.0,1,9.0,1,3,3.0,1,3.0,1.0,0,4,1,2.0,1,28675.0,False,False,True,True,False
0,26.0,1,26.0,1,4,4.0,0,3.0,5.0,0,5,1,3.0,2,22347.0,True,False,True,False,False
0,59.0,2,8.0,0,2,4.0,4,3.0,1.0,0,2,1,1.0,4,33844.0,False,True,False,False,False
1,28.0,1,18.0,0,3,3.0,0,3.0,2.0,1,4,1,0.0,2,17515.0,True,True,False,False,False
0,22.0,1,12.0,1,4,4.0,0,3.0,3.0,0,1,1,2.0,2,21795.0,True,False,True,False,True
0,23.0,1,10.0,1,2,1.0,0,5.0,3.0,0,4,0,1.0,2,17819.0,True,False,True,True,False
0,59.0,1,22.0,1,3,4.0,3,3.0,4.0,1,1,1,1.0,3,34465.0,False,True,False,True,False
0,25.0,1,36.0,1,4,4.0,0,5.0,3.0,0,4,1,2.0,2,22585.0,True,False,True,True,False
1,21.0,1,18.0,0,4,5.0,0,5.0,3.0,1,3,0,2.0,2,21278.0,True,False,True,False,True
0,27.0,1,13.0,0,4,4.0,0,3.0,3.0,1,2,0,1.0,2,21337.0,True,True,False,False,False
0,37.0,1,13.0,1,4,2.0,2,5.0,5.0,1,4,1,2.0,0,24240.0,False,True,False,True,False
0,35.0,1,13.0,0,3,4.0,2,3.0,3.0,0,3,1,1.0,0,23487.0,True,True,False,False,True
0,28.0,1,16.0,1,3,4.0,0,4.0,8.0,0,3,0,1.0,2,20702.0,False,False,True,True,False
0,22.0,3,12.0,1,3,4.0,0,5.0,3.0,1,1,1,1.0,2,21058.0,True,False,True,False,True
0,18.0,1,11.0,1,3,3.0,0,3.0,2.0,0,2,1,1.0,2,16051.0,False,True,False,False,True
0,60.0,3,34.0,0,3,4.0,1,5.0,5.0,0,2,1,0.0,1,25266.0,False,False,True,False,False
0,32.0,1,8.0,0,3,3.0,0,4.0,2.0,0,4,0,1.0,2,17370.0,True,False,True,True,False
0,43.0,1,13.0,1,2,2.0,0,3.0,5.0,0,4,0,1.0,2,17089.0,False,False,True,True,False
0,39.0,1,9.0,1,3,4.0,2,3.0,1.0,0,4,0,2.0,0,18069.0,True,False,True,True,False
0,43.0,1,14.0,0,4,2.0,2,4.0,8.0,1,1,0,1.0,0,21050.0,True,False,True,False,False
1,28.0,1,14.0,0,2,4.0,0,4.0,2.0,0,4,0,1.0,2,17154.0,True,True,False,False,True
0,34.0,3,6.0,1,3,1.0,2,3.0,1.0,0,5,1,2.0,0,24725.0,True,False,True,True,False
0,36.0,1,7.0,1,3,5.0,0,3.0,8.0,0,1,1,2.0,2,20936.0,True,False,True,True,False
0,46.0,2,31.0,1,3,4.0,0,4.0,3.0,0,4,0,1.0,2,20855.0,True,False,True,False,True
0,40.0,3,31.0,0,3,5.0,3,3.0,2.0,0,1,1,2.0,3,30709.0,True,False,True,True,False
0,52.0,1,16.0,1,4,4.0,0,3.0,5.0,0,3,1,1.0,2,20753.0,True,True,False,True,False
1,27.0,1,28.0,1,3,4.0,0,3.0,3.0,0,5,1,1.0,2,21055.0,True,False,True,True,False
0,60.0,1,10.0,0,3,3.0,0,5.0,6.0,1,2,1,2.0,2,21348.0,True,False,True,False,False
0,29.0,1,28.0,1,3,4.0,0,3.0,3.0,0,1,0,1.0,2,21391.0,True,False,True,True,False
1,34.0,3,12.0,0,2,5.0,0,3.0,1.0,0,4,1,1.0,2,17351.0,False,False,True,True,False
0,30.0,3,9.0,1,3,4.0,2,3.0,3.0,0,1,0,2.0,0,23232.0,False,True,False,False,True
0,55.0,1,27.0,0,3,4.0,2,3.0,5.0,0,4,0,2.0,0,23547.0,False,True,False,False,True
1,22.0,1,25.0,0,4,4.0,0,3.0,3.0,0,3,1,2.0,2,21371.0,True,True,False,False,True
1,34.0,2,29.0,0,2,3.0,1,5.0,1.0,1,3,1,0.0,1,24950.0,False,True,False,True,False
